location,date,zika_bool,max_temp,max_temp1,max_temp2,mean_temp,mean_temp1,mean_temp2,min_temp,min_temp1,min_temp2,dew_point,dew_point1,dew_point2,precipitation,precipitation1,precipitation2,wind,wind1,wind2,density_per_km,airport_dist_any,airport_dist_large,mosquito_dist,gdp,gdp_ppp
Colombia-Cesar-San_Diego,2016-04-09,1,37.0,38.0,39.0,31.0,32.0,32.0,25.0,25.0,26.0,20.0,20.0,19.0,0.0,0.0,0.0,20.0,15.0,22.0,22.47832489013672,0.015006248200000356,32.65283204020001,0.4185393082000041,291.5,666.9
United_States-Mississippi,2016-03-30,0,73.0,69.0,75.0,62.0,55.0,64.0,50.0,41.0,52.0,53.0,43.0,55.0,3.33,0.83,1.61,8.0,8.0,8.0,13.658160209655762,0.4159768989912876,0.5033922791912984,39.41964960319135,18120.7,18120.7
Colombia-Valle_Del_Cauca-Cali,2016-06-25,1,86.0,30.0,31.0,77.0,24.0,25.0,67.0,18.0,19.0,66.0,19.0,19.0,0.04,0.0,0.76,5.0,7.0,7.0,4986.8935546875,0.03084104563404745,7.251538733034006,0.00014636143405000808,291.5,666.9
Colombia-Antioquia-Ebejico,2016-06-18,1,29.0,28.0,28.0,23.0,22.0,23.0,17.0,17.0,18.0,14.0,15.0,17.0,0.0,0.0,0.0,4.0,8.0,7.0,72.86564636230469,0.04252645186099929,5.265837427860956,0.02618696186099627,291.5,666.9
Colombia-Narino-Ipiales,2016-01-23,1,67.0,67.0,68.0,55.0,56.0,55.0,43.0,45.0,43.0,48.0,49.0,49.0,0.03,0.01,0.02,4.0,2.0,3.0,110.4156723022461,0.002385175779999658,1.4273869317800025,0.6163297197799965,291.5,666.9
Colombia-Santander-Giron,2016-06-25,1,78.0,26.0,27.0,71.0,22.0,22.0,64.0,18.0,18.0,66.0,19.0,19.0,0.73,7.87,6.1,4.0,8.0,8.0,532.90576171875,0.003059998167880187,6.5821965833678915,0.003725379367879443,291.5,666.9
Colombia-Antioquia-Ciudad_Bolivar,2016-02-20,1,87.0,30.0,30.0,77.0,24.0,24.0,67.0,19.0,19.0,60.0,15.0,14.0,0.0,0.0,0.0,8.0,9.0,10.0,142.63839721679688,0.3207029418156154,4.838645925015587,0.3275567416156066,291.5,666.9
Panama-Kuna_Yala-Rio_Azucar,2016-04-11,1,35.0,35.0,35.0,29.0,29.0,28.0,23.0,24.0,22.0,20.0,21.0,21.0,0.0,0.0,0.0,7.0,9.0,6.0,12.695869445800781,0.6927378843599981,0.6927378843599981,5.366207444359976,54.3,91.1
Dominican_Republic-Distrito_Nacional,2016-06-04,1,31.0,88.0,88.0,27.0,83.0,82.0,25.0,77.0,77.0,24.0,75.0,75.0,0.0,0.0,0.0,5.0,5.0,6.0,12376.0859375,0.010560756123141259,0.07189741892313734,4.68724406752319,68.2,149.9
United_States-Puerto_Rico,2016-06-29,1,85.0,85.0,83.0,74.0,74.0,74.0,62.0,63.0,63.0,61.0,62.0,56.0,0.06,2.28,2.97,6.0,6.0,8.0,1966.2645263671875,0.012275216569998599,0.012275216569998599,0.007559410570000683,18120.7,18120.7
United_States-Puerto_Rico,2016-06-29,1,85.0,85.0,83.0,74.0,74.0,74.0,62.0,63.0,63.0,61.0,62.0,56.0,0.06,2.28,2.97,6.0,6.0,8.0,1966.2645263671875,0.012275216569998599,0.012275216569998599,0.007559410570000683,18120.7,18120.7
Colombia-Bolivar-San_Juan_Nepomuceno,2016-04-23,1,35.0,35.0,36.0,30.0,29.0,29.0,25.0,24.0,22.0,26.0,24.0,24.0,0.0,4.06,0.0,4.0,5.0,6.0,53.32006072998047,0.42297057718400005,19.257526305183987,0.3050721131839995,291.5,666.9
Colombia-Antioquia-Chigorodo,2016-06-25,1,89.0,33.0,33.0,82.0,28.0,28.0,75.0,24.0,23.0,76.0,25.0,25.0,3.61,0.76,2.03,5.0,6.0,7.0,113.80782318115234,0.023062923900999833,9.296341981901016,0.19189617990099972,291.5,666.9
Dominican_Republic-Distrito_Nacional,2016-06-04,1,31.0,88.0,88.0,27.0,83.0,82.0,25.0,77.0,77.0,24.0,75.0,75.0,0.0,0.0,0.0,5.0,5.0,6.0,12376.0859375,0.010560756123141259,0.07189741892313734,4.68724406752319,68.2,149.9
Colombia-Cordoba-San_Antero,2016-03-12,1,36.0,35.0,95.0,30.0,29.0,86.0,24.0,24.0,76.0,23.0,24.0,76.0,0.0,0.0,0.0,4.0,6.0,3.0,27.03122329711914,0.005253289452999352,13.229075481452984,0.8947706274529997,291.5,666.9
Colombia-Cundinamarca-San_Cayetano,2016-01-09,0,70.0,69.0,71.0,59.0,58.0,58.0,48.0,46.0,44.0,51.0,45.0,43.0,0.02,0.01,0.0,6.0,7.0,8.0,20.747108459472656,0.3650419860880022,0.3650419860880022,0.38249258208801123,291.5,666.9
Colombia-Cundinamarca-Quipile,2016-04-23,1,21.0,20.0,19.0,15.0,16.0,16.0,10.0,11.0,11.0,9.0,12.0,12.0,0.0,76.71,5.84,12.0,9.0,7.0,49.87218475341797,0.17396223699998697,0.17396223699998697,0.019004856999998355,291.5,666.9
Dominican_Republic-Distrito_Nacional,2016-06-04,1,31.0,88.0,88.0,27.0,83.0,82.0,25.0,77.0,77.0,24.0,75.0,75.0,0.0,0.0,0.0,5.0,5.0,6.0,12376.0859375,0.010560756123141259,0.07189741892313734,4.68724406752319,68.2,149.9
Colombia-Sucre-San_Juan_De_Betulia,2016-04-23,1,35.0,35.0,36.0,30.0,29.0,29.0,25.0,24.0,22.0,26.0,24.0,24.0,0.0,4.06,0.0,4.0,5.0,6.0,85.13037109375,0.005220042951999986,17.17455286295195,1.1077969749519951,291.5,666.9
Colombia-Santander-Socorro,2016-06-25,1,78.0,26.0,27.0,71.0,22.0,22.0,64.0,18.0,18.0,66.0,19.0,19.0,0.73,7.87,6.1,4.0,8.0,8.0,309.883056640625,0.43965245190599844,3.9007218179060232,0.43205839190599715,291.5,666.9
Colombia-Cesar-Becerril,2016-03-19,1,38.0,37.0,37.0,32.0,31.0,31.0,25.0,24.0,24.0,19.0,17.0,19.0,0.0,0.0,0.0,18.0,23.0,22.0,12.099706649780273,0.5356624823539997,25.770552734354016,1.5912274123540064,291.5,666.9
Colombia-Antioquia-Yarumal,2016-06-25,1,83.0,29.0,28.0,73.0,23.0,22.0,64.0,17.0,17.0,59.0,14.0,15.0,0.0,0.0,0.0,4.0,4.0,8.0,78.73828125,0.5800783001082084,6.725619167308194,0.0656122359082063,291.5,666.9
Dominican_Republic-Barahona,2016-05-07,1,30.0,31.0,32.0,27.0,27.0,28.0,23.0,23.0,23.0,24.0,24.0,22.0,1.02,0.0,0.0,12.0,17.0,23.0,2050.2607421875,0.0018242044502504225,2.102146169050236,1.1671120618502697,68.2,149.9
Colombia-Caldas-Anserma,2016-04-16,1,21.0,21.0,20.0,17.0,17.0,17.0,14.0,14.0,15.0,14.0,14.0,14.0,0.0,0.0,0.0,8.0,7.0,7.0,143.80563354492188,0.14557979216499578,2.9649185961649716,0.5129556021650002,291.5,666.9
Colombia-Bogota-Bosa_Tintal_Sur,2016-01-09,0,70.0,69.0,71.0,59.0,58.0,58.0,48.0,46.0,44.0,51.0,45.0,43.0,0.02,0.01,0.0,6.0,7.0,8.0,6356.59912109375,0.009906020656999283,0.009906020656999283,0.08178827865700156,291.5,666.9
Colombia-Guajira-Barrancas,2016-05-21,1,95.0,33.0,32.0,88.0,29.0,28.0,81.0,25.0,24.0,76.0,25.0,25.0,0.0,2.04,0.0,0.0,13.0,11.0,66.3774642944336,0.1702840404846105,40.934473036284636,0.007274423884609827,291.5,666.9
Haiti-Ouest-Petit_Goave,2016-02-03,1,32.0,32.0,32.0,28.0,28.0,27.0,24.0,23.0,23.0,19.0,19.0,19.0,0.0,0.0,0.0,14.0,14.0,14.0,4691.6728515625,0.14871501070009824,10.147423656100134,0.209432286300105,8.7,18.8
Panama-Panama_Oeste-Guadalupe,2016-04-11,1,32.0,31.0,29.0,25.0,23.0,22.0,18.0,16.0,16.0,16.0,10.0,9.0,1.02,4.07,0.0,7.0,7.0,9.0,5438.447265625,0.004818607489999694,3.0096397334900136,1.7255320754899934,54.3,91.1
Guatemala-Escuintla,2016-03-26,1,35.0,34.0,34.0,28.0,21.0,27.0,22.0,8.0,19.0,22.0,23.0,23.0,0.0,0.0,0.0,9.0,8.0,8.0,327.19464111328125,0.13545681926728967,3.739931027267306,1.9982418836672988,63.8,126.2
Colombia-Amazonas-Puerto_Narino,2016-06-25,1,86.0,29.0,30.0,80.0,26.0,26.0,73.0,22.0,22.0,74.0,23.0,24.0,1.62,12.96,98.55,1.0,1.0,2.0,10.440282821655273,0.3732592436000022,75.97921528359998,0.5617894035999911,291.5,666.9
Colombia-Norte_Santander-Silos,2016-01-09,0,82.0,84.0,85.0,74.0,75.0,75.0,66.0,66.0,66.0,68.0,66.0,65.0,0.04,0.01,0.0,4.0,5.0,5.0,14.04356575012207,0.18924571101200885,8.19624465501203,0.14076494701200898,291.5,666.9
Ecuador-Orellana,2016-04-27,1,85.0,87.0,87.0,78.0,80.0,80.0,71.0,72.0,73.0,74.0,75.0,77.0,1.3,0.4,0.36,4.0,4.0,4.0,572.0955810546875,0.00013643158365004784,1.9636518987836673,0.545957163783651,99.3,184.8
Colombia-Guajira-La_Jagua_Del_Pilar,2016-01-09,0,97.0,95.0,96.0,86.0,85.0,86.0,75.0,76.0,77.0,68.0,67.0,66.0,0.0,0.0,0.0,10.0,12.0,15.0,40.133697509765625,0.03732600690088174,34.87744872690091,0.19426146490088034,291.5,666.9
Colombia-Sucre-El_Roble,2016-06-11,1,33.0,32.0,91.0,28.0,28.0,84.0,23.0,23.0,76.0,24.0,25.0,78.0,42.93,29.21,0.75,1.0,2.0,2.0,128.21002197265625,0.06158097800000151,17.53577729800001,1.516808378,291.5,666.9
Panama-Metro-Costa_del_Este,2016-04-11,1,34.0,34.0,34.0,29.0,29.0,29.0,25.0,26.0,24.0,21.0,22.0,22.0,0.0,0.0,0.0,10.0,12.0,11.0,5490.580078125,0.00942921265001047,0.010502048250009803,8.328128570049953,54.3,91.1
United_States-Puerto_Rico,2016-06-29,1,85.0,85.0,83.0,74.0,74.0,74.0,62.0,63.0,63.0,61.0,62.0,56.0,0.06,2.28,2.97,6.0,6.0,8.0,1966.2645263671875,0.012275216569998599,0.012275216569998599,0.007559410570000683,18120.7,18120.7
Dominican_Republic-Baoruco,2016-04-23,1,32.0,32.0,31.0,28.0,28.0,27.0,23.0,24.0,23.0,22.0,22.0,22.0,0.0,0.0,0.0,23.0,17.0,16.0,207.67312622070312,0.14510225628404633,3.0631505676840556,0.4775290898840558,68.2,149.9
Colombia-Meta-San_Carlos_De_Guaroa,2016-06-25,1,82.0,27.0,30.0,76.0,23.0,25.0,69.0,20.0,21.0,70.0,21.0,21.0,0.53,34.29,4.06,3.0,2.0,3.0,23.264793395996094,0.23678945285000721,1.8025317688500269,0.2236112948499982,291.5,666.9
Ecuador-Manabi-Manta,2016-06-29,1,85.0,86.0,86.0,79.0,80.0,80.0,74.0,74.0,73.0,70.0,71.0,73.0,0.0,0.0,0.02,7.0,6.0,7.0,1333.324462890625,0.0013634794828997084,4.383951509482889,6.513406218882894,99.3,184.8
Colombia-Santander-Puerto_Parra,2016-05-07,1,30.0,32.0,33.0,27.0,28.0,29.0,23.0,23.0,25.0,24.0,24.0,25.0,19.81,0.76,4.31,3.0,3.0,5.0,14.836522102355957,0.20124856577820877,3.8061027817782107,0.0852722623782094,291.5,666.9
Nicaragua-Masaya-Masatepe,2016-03-07,1,35.0,34.0,34.0,29.0,29.0,29.0,25.0,24.0,24.0,22.0,21.0,22.0,0.0,0.0,0.0,17.0,19.0,19.0,719.3567504882812,0.05054359665485002,10.783284550254809,0.05394780465484762,12.7,32.1
Colombia-Cesar-Aguachica,2016-06-25,1,42.050000000000004,50.599999999999994,50.8,35.1,44.599999999999994,40.150000000000006,28.15,38.65,30.5,29.299999999999997,34.050000000000004,31.5,1.2105000000000001,0.6765000000000001,1.1900000000000013,8.7,10.600000000000001,9.85,132.720458984375,0.06442828784999899,13.274858967850005,0.8331691778500002,291.5,666.9
Colombia-Quindio-Filandia,2016-03-19,1,29.0,29.0,29.0,24.0,23.0,24.0,19.0,19.0,19.0,19.0,18.0,19.0,20.83,5.33,0.51,9.0,8.0,6.0,159.89804077148438,0.025337239524999985,2.287918177524968,0.0228982515250005,291.5,666.9
Colombia-Cordoba-Los_Cordobas,2016-03-05,1,35.0,95.0,96.0,29.0,86.0,86.0,24.0,76.0,75.0,24.0,76.0,76.0,0.0,0.0,0.0,6.0,3.0,2.0,91.78590393066406,0.2844597545000089,9.202214974499963,0.7730848745000024,291.5,666.9
Colombia-Valle_Del_Cauca-Ulloa,2016-06-18,1,28.0,28.0,27.0,22.0,23.0,22.0,18.0,18.0,18.0,18.0,18.0,19.0,1.52,16.0,8.64,8.0,9.0,7.0,424.1517639160156,0.012055873384999926,2.533634503384967,0.03082694138500003,291.5,666.9
Colombia-Cordoba-Cienaga_De_Oro,2016-03-19,1,35.0,36.0,35.0,30.0,30.0,29.0,25.0,24.0,24.0,24.0,23.0,24.0,0.0,0.0,0.0,5.0,4.0,6.0,129.21084594726562,0.04493768644899926,14.186927628449,1.8363207504490202,291.5,666.9
Colombia-Santander-Valle_De_San_Jose,2016-06-04,1,26.0,80.0,81.0,22.0,73.0,74.0,18.0,67.0,67.0,19.0,68.0,69.0,4.83,0.05,0.47,8.0,5.0,5.0,48.405155181884766,0.4625440625320005,4.055457198532029,0.4386191385319997,291.5,666.9
Colombia-Cauca-Caloto,2016-06-25,1,86.0,30.0,31.0,77.0,24.0,25.0,67.0,18.0,19.0,66.0,19.0,19.0,0.04,0.0,0.76,5.0,7.0,7.0,120.19901275634766,0.26022563449699965,7.896232712496955,0.1859614624970002,291.5,666.9
Colombia-Amazonas-Puerto_Arica,2016-06-18,1,29.0,30.0,29.0,26.0,26.0,26.0,22.0,22.0,23.0,23.0,24.0,24.0,12.96,98.55,63.25,1.0,2.0,2.0,0.22538726031780243,7.4514329300000135,47.90447873000004,4.77573844999999,291.5,666.9
Colombia-Boyaca-El_Cocuy,2016-01-09,0,91.7,92.22,40.28,81.83,82.83,34.24,71.83,72.44,28.2,63.26,65.35,25.46,0.1391,0.0,0.0,5.74,3.26,5.61,19.45735740661621,0.4716147332910028,5.808749628691029,0.9465716672910173,291.5,666.9
Dominican_Republic-Distrito_Nacional,2016-06-04,1,31.0,88.0,88.0,27.0,83.0,82.0,25.0,77.0,77.0,24.0,75.0,75.0,0.0,0.0,0.0,5.0,5.0,6.0,12376.0859375,0.010560756123141259,0.07189741892313734,4.68724406752319,68.2,149.9
Colombia-Cundinamarca-Quetame,2016-02-06,1,35.0,94.0,92.0,29.0,83.0,81.0,23.0,72.0,71.0,19.0,65.0,66.0,2.03,0.0,0.0,2.0,2.0,1.0,64.83131408691406,0.08832968788899392,0.21895096988900756,0.08220345188899614,291.5,666.9
Colombia-Valle_Del_Cauca-Guacari,2016-06-18,1,30.0,31.0,30.0,24.0,25.0,24.0,18.0,19.0,18.0,19.0,19.0,20.0,0.0,0.76,0.51,7.0,7.0,7.0,251.21896362304688,0.050844762202000175,5.658040174201969,0.13312423220199845,291.5,666.9
Colombia-Casanare-Sabanalarga,2016-06-25,1,83.0,29.0,28.0,73.0,23.0,22.0,64.0,17.0,17.0,59.0,14.0,15.0,0.0,0.0,0.0,4.0,4.0,8.0,43.34637451171875,0.4480205467229287,7.403706649922944,0.32624694192292547,291.5,666.9
Colombia-Cauca-Balboa,2016-01-30,1,81.0,78.0,77.0,69.0,68.0,68.0,57.0,57.0,59.0,58.0,60.0,61.0,0.0,0.0,0.02,5.0,3.0,3.0,81.27748107910156,0.42120866121999995,6.010499857220013,1.9990309692199963,291.5,666.9
Colombia-Cundinamarca-Gacheta,2016-05-14,1,19.0,19.0,20.0,14.0,15.0,16.0,10.0,10.0,11.0,10.0,11.0,12.0,0.0,0.0,0.0,9.0,9.0,10.0,44.62459945678711,0.27402692242001536,0.27402692242001536,0.4448652944199994,291.5,666.9
Argentina-Misiones,2016-05-22,1,20.0,18.0,22.0,16.0,14.0,19.0,12.0,11.0,15.0,12.0,11.0,17.0,1.02,23.12,30.99,9.0,12.0,12.0,414.0570068359375,0.002265017248009679,49.44839945924803,0.8428627044480145,642.5,883.9
Colombia-Casanare-Villanueva,2016-06-25,1,94.0,35.0,35.0,85.0,30.0,30.0,77.0,24.0,24.0,71.0,22.0,23.0,2.14,0.0,1.02,8.0,12.0,7.0,112.98785400390625,0.10032508393700505,36.18768488593704,0.09936277393699919,291.5,666.9
United_States-Puerto_Rico,2016-06-29,1,85.0,85.0,83.0,74.0,74.0,74.0,62.0,63.0,63.0,61.0,62.0,56.0,0.06,2.28,2.97,6.0,6.0,8.0,1966.2645263671875,0.012275216569998599,0.012275216569998599,0.007559410570000683,18120.7,18120.7
Dominican_Republic-Distrito_Nacional,2016-06-04,1,31.0,88.0,88.0,27.0,83.0,82.0,25.0,77.0,77.0,24.0,75.0,75.0,0.0,0.0,0.0,5.0,5.0,6.0,12376.0859375,0.010560756123141259,0.07189741892313734,4.68724406752319,68.2,149.9
Ecuador-Santo_Domingo_de_los_Tsachilas,2016-06-01,1,69.0,76.0,76.0,60.0,64.0,65.0,50.0,52.0,53.0,52.0,53.0,52.0,0.04,0.0,0.0,4.0,4.0,4.0,367.6307373046875,0.7039729144261215,0.7039729144261215,5.738636010826152,99.3,184.8
Panama-Metro-Clayton,2016-04-11,1,34.0,34.0,34.0,29.0,29.0,29.0,25.0,26.0,24.0,21.0,22.0,22.0,0.0,0.0,0.0,10.0,12.0,11.0,227.3785858154297,0.0013508716314596916,0.04166369223145819,8.915712683831385,54.3,91.1
Dominican_Republic-Monsenor_Nouel,2016-06-04,1,31.0,88.0,88.0,27.0,83.0,82.0,25.0,77.0,77.0,24.0,75.0,75.0,0.0,0.0,0.0,5.0,5.0,6.0,523.837890625,0.27961913578980313,0.7523648991898083,2.95412572618981,68.2,149.9
Colombia-Meta-Puerto_Lleras,2016-06-11,1,30.0,29.0,86.0,25.0,25.0,78.0,21.0,21.0,71.0,21.0,22.0,72.0,4.06,6.09,1.42,3.0,2.0,2.0,4.235280990600586,0.6831764571600021,2.6481570731600157,0.6531353971600075,291.5,666.9
United_States-Puerto_Rico,2016-06-29,1,85.0,85.0,83.0,74.0,74.0,74.0,62.0,63.0,63.0,61.0,62.0,56.0,0.06,2.28,2.97,6.0,6.0,8.0,1966.2645263671875,0.012275216569998599,0.012275216569998599,0.007559410570000683,18120.7,18120.7
Dominican_Republic-Distrito_Nacional,2016-06-04,1,31.0,88.0,88.0,27.0,83.0,82.0,25.0,77.0,77.0,24.0,75.0,75.0,0.0,0.0,0.0,5.0,5.0,6.0,12376.0859375,0.010560756123141259,0.07189741892313734,4.68724406752319,68.2,149.9
Dominican_Republic-Santo_Domingo_Norte,2016-01-30,1,85.0,86.0,87.0,77.0,78.0,78.0,69.0,70.0,68.0,70.0,70.0,69.0,0.0,0.0,0.0,5.0,5.0,4.0,565.421630859375,0.006743303617451781,0.08463141421744778,4.766628288617497,68.2,149.9
Panama-Kuna_Yala-Achutupu,2016-04-11,1,35.0,35.0,35.0,29.0,29.0,28.0,23.0,24.0,22.0,20.0,21.0,21.0,0.0,0.0,0.0,7.0,9.0,6.0,18.77334213256836,1.964914800024403,1.964914800024403,2.787243716624397,54.3,91.1
Colombia-Arauca-Tame,2016-06-25,1,83.5,87.3,86.2,74.45,75.45,73.6,64.45,62.6,61.0,64.9,61.25,59.9,1.0165000000000002,0.0,0.0,4.1,4.9,3.15,16.856979370117188,0.0002469520610002216,8.847485154061037,2.31549526006102,291.5,666.9
Argentina-Neuquen,2016-04-16,1,19.0,20.0,26.0,14.0,14.0,19.0,8.0,8.0,12.0,9.0,8.0,13.0,2.03,6.1,0.0,8.0,7.0,4.0,64.00892639160156,0.009379582272000926,107.74536860787197,8.72510720000595e-05,642.5,883.9
Colombia-Boyaca-Cienega,2016-01-09,0,91.0,94.0,95.0,84.0,85.0,86.0,76.0,76.0,77.0,74.0,73.0,73.0,0.0,0.0,0.0,5.0,6.0,6.0,98.46766662597656,0.012868925731999827,30.110622853731986,0.25881633773200274,291.5,666.9
Colombia-Choco-Rio_Quito,2016-01-09,0,87.0,88.0,88.0,81.0,82.0,82.0,76.0,77.0,76.0,77.0,77.0,77.0,0.38,0.02,0.0,2.0,2.0,1.0,18.333744049072266,0.042653028743197624,7.630765539143152,0.039930490343197865,291.5,666.9
Colombia-Antioquia-Amalfi,2016-04-09,1,85.3,85.65,60.65,77.85,78.75,54.55,70.95,71.4,48.349999999999994,71.95,70.95,48.0,1.6205000000000003,1.6515,9.031500000000001,4.8,5.1499999999999995,7.4,23.62702178955078,0.5452629946250019,5.7173651826249845,0.012743028625001627,291.5,666.9
Colombia-Sucre-Galeras,2016-04-02,1,24.0,27.0,24.0,20.0,21.0,20.0,16.0,16.0,15.0,17.0,14.0,16.0,0.25,0.51,2.54,4.0,6.0,5.0,232.02340698242188,0.03497528352132965,2.8224386933213492,0.5438546225213201,291.5,666.9
Colombia-Antioquia-Puerto_Berrio,2016-06-25,1,89.0,32.0,32.0,82.0,28.0,28.0,74.0,23.0,24.0,75.0,23.0,24.0,0.35,0.0,7.11,2.0,4.0,4.0,41.3391227722168,0.6605468400249974,3.2218450600249944,0.011428780025000251,291.5,666.9
Panama-Sin_Especificar,2016-04-11,1,37.0,36.0,37.0,30.0,30.0,29.0,24.0,25.0,24.0,20.0,21.0,21.0,0.0,0.0,0.0,8.0,14.0,7.0,19.993396759033203,0.23081443848999686,2.2416656164900193,8.587769400489954,54.3,91.1
Colombia-Meta-Cubarral,2016-06-25,1,82.0,27.0,30.0,76.0,23.0,25.0,69.0,20.0,21.0,70.0,21.0,21.0,0.53,34.29,4.06,3.0,2.0,3.0,9.168292999267578,0.1687668357779964,0.9732348077780059,0.050888697777998676,291.5,666.9
Colombia-Antioquia-Turbo,2016-06-25,1,89.0,33.0,33.0,82.0,28.0,28.0,75.0,24.0,23.0,76.0,25.0,25.0,3.61,0.76,2.03,5.0,6.0,7.0,56.252159118652344,0.08033405546225006,7.998870426462225,2.582146225000741e-05,291.5,666.9
Colombia-San_Andres-Providencia,2016-03-26,1,30.0,29.0,29.0,28.0,28.0,27.0,26.0,26.0,25.0,24.0,23.0,23.0,0.25,0.25,2.03,6.0,4.0,7.0,277.560302734375,0.0005557701215297258,22.17363657372153,15.39248046352153,291.5,666.9
Dominican_Republic-Independencia,2016-03-26,1,31.0,31.0,31.0,27.0,27.0,26.0,22.0,24.0,21.0,22.0,22.0,19.0,0.0,0.0,0.0,18.0,18.0,15.0,18.34076690673828,0.17891358173676666,3.441027310736785,0.39484007593677234,68.2,149.9
Ecuador-Chimborazo,2016-05-18,1,70.0,68.0,69.0,60.0,61.0,61.0,51.0,54.0,53.0,54.0,55.0,55.0,0.04,0.0,0.04,4.0,2.0,3.0,50.11248779296875,0.12473898633139756,0.3565600371313992,6.125330569531422,99.3,184.8
Colombia-Antioquia-La_Estrella,2016-06-18,1,29.0,28.0,28.0,23.0,22.0,23.0,17.0,17.0,18.0,14.0,15.0,17.0,0.0,0.0,0.0,4.0,8.0,7.0,2162.5107421875,0.0085893113970008,4.2801417153969945,0.010902923397001309,291.5,666.9
Colombia-Cesar-Bosconia,2016-06-25,1,94.0,35.0,35.0,85.0,30.0,30.0,77.0,24.0,24.0,71.0,22.0,23.0,2.14,0.0,1.02,8.0,12.0,7.0,79.32781982421875,0.6261684330049953,27.821414511005003,1.1751063530050097,291.5,666.9
Colombia-Santander-Vetas,2016-01-09,0,82.0,84.0,85.0,74.0,75.0,75.0,66.0,66.0,66.0,68.0,66.0,65.0,0.04,0.01,0.0,4.0,5.0,5.0,27.865230560302734,0.14392256580000148,8.563352985800009,0.11070204579999753,291.5,666.9
Dominican_Republic-Distrito_Nacional,2016-06-04,1,31.0,88.0,88.0,27.0,83.0,82.0,25.0,77.0,77.0,24.0,75.0,75.0,0.0,0.0,0.0,5.0,5.0,6.0,12376.0859375,0.010560756123141259,0.07189741892313734,4.68724406752319,68.2,149.9
Colombia-Risaralda-Quinchia,2016-05-07,1,20.0,19.0,22.0,17.0,17.0,20.0,14.0,15.0,17.0,14.0,14.0,14.0,0.0,0.0,0.0,6.0,7.0,9.0,233.41835021972656,0.16767319375299974,2.9176907577529936,0.6587312637529995,291.5,666.9
